"person_id","study_id","language","gender","age","education","hg_1","hg_3","hg_4","hg_7","hg_10","hg_13","pp_1","pp_6","pp_8","pp_11","pp_12","pp_14","pp_15","pp_17","mc_1","mc_2","mc_3","mc_7","mc_15","mc_18","mc_20","mc_23","hg","pp","mc","cr","cp","cc"
"01_105","01","DE","m",54,4,4,3,3,3,3,5,3,5,3,4,5,4,4,4,5,3,3,4,4,3,3,3,3.6,3.8,3.4,NA,NA,NA
"01_106","01","DE","m",52,4,4,4,3,4,3,4,4,4,3,3,3,2,4,3,5,3,4,5,2,3,4,4,3.8,3.2,4,NA,NA,NA
"01_108","01","DE","f",48,5,5,1,4,4,4,4,3,3,3,1,3,3,4,3,4,3,5,5,5,3,5,3,3.6,3.2,4,NA,NA,NA
"01_109","01","DE","f",49,3,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.6,1,1,NA,NA,NA
"01_110","01","DE","m",39,6,4,4,3,5,5,4,5,5,6,4,5,4,5,5,4,5,5,6,5,6,6,5,4.4,5,5.2,NA,NA,NA
"01_111","01","DE","m",45,4,4,1,1,1,1,1,1,1,1,6,1,6,5,1,1,1,5,1,1,3,1,1,1.6,2.8,2.2,NA,NA,NA
"01_112","01","DE","f",38,3,6,6,4,4,5,6,1,1,3,3,3,3,4,3,5,2,1,6,5,6,2,6,5.4,2.8,4,NA,NA,NA
"01_113","01","DE","f",54,5,4,1,2,4,3,1,1,3,4,4,3,3,1,3,2,1,2,4,1,1,1,3,2.6,2.4,1.8,NA,NA,NA
"01_114","01","DE","f",34,6,5,2,3,4,3,4,4,3,4,4,5,2,2,2,2,2,3,4,3,3,3,2,3.6,3.4,2.6,NA,NA,NA
"01_119","01","DE","m",49,3,6,4,4,6,5,5,6,5,6,5,4,4,6,5,6,6,6,5,6,6,6,6,5.2,5.2,6,NA,NA,NA
"01_120","01","DE","m",55,4,3,3,6,4,4,4,3,4,3,3,4,3,4,4,3,4,4,4,4,3,4,5,3.6,3.4,3.8,NA,NA,NA
"01_121","01","DE","f",38,4,3,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,4,1,2,2,2,2,1.4,1.8,2.2,NA,NA,NA
"01_123","01","DE","m",50,4,4,4,4,3,3,4,3,3,3,3,3,3,4,4,3,4,3,4,3,3,3,3,3.6,3.2,3,NA,NA,NA
"01_126","01","DE","f",48,5,6,5,4,6,5,5,2,3,4,4,4,1,3,4,2,5,5,3,6,6,6,6,5.4,2.8,5,NA,NA,NA
"01_136","01","DE","m",38,2,4,4,3,4,5,5,3,4,5,5,5,4,4,2,3,4,5,2,5,3,4,5,4.4,4.2,4,NA,NA,NA
"01_134","01","DE","f",34,6,4,4,3,4,1,5,1,3,1,1,1,1,1,1,3,3,4,5,4,2,1,3,3.6,1,2.6,NA,NA,NA
"01_145","01","DE","f",37,3,5,3,3,3,4,4,2,3,3,3,4,3,4,4,4,3,5,3,6,4,4,4,3.8,3.2,4.2,NA,NA,NA
"01_146","01","DE","f",52,3,4,3,4,3,3,4,3,4,3,4,3,3,3,4,2,1,3,3,3,3,2,4,3.4,3,2.8,NA,NA,NA
"01_157","01","DE","m",50,4,4,4,2,6,3,3,4,4,3,4,4,3,4,4,4,4,4,4,2,3,4,4,4,3.6,3.8,NA,NA,NA
"01_163","01","DE","f",48,3,5,5,4,5,4,3,3,5,4,5,5,5,5,5,3,1,2,2,4,4,4,4,4.4,4.4,3.4,NA,NA,NA
